Date;Time;event_Tracer;Alt;Spd;Rpm;Tk;Tk Friction;Odo;FuelAvg;BoostP;ExhaustP;AdmTemp;Regen Status;NoxIn;NoxOut;DOC In;DOC out;DPF out;SCR out;DpfMaxTemp;UrLv;UrTemp;UrQlty;SootLoad;Acl Pos;Eng.Temp;Amb.Temp;Seq
18/11/24 ; 19:07:41;(FW_RXOK);;;;;;;;;;;;;;;;;;;;;;;;;;15137
18/11/24 ; 19:07:44;(FW_UPDATE:14,8)(RESET:0A)(ENGINE_ON)(DM1 EMPTY);;50,5;1863;85;;57283500;;;230,68;;;-7,1;;;;;;;;;;;100;;33,06;15138
18/11/24 ; 19:07:49;;;51,5;1911;84;13;57283625;5,00;148;227,00;53;131;-200,0;;;;331,68;0,00;356,87;;;31,7;;100;90;;
18/11/24 ; 19:07:54;;;53,3;2005;82;14;57283625;5,00;;243,93;;;1256,0;;;;;0,00;;;;;;100;;32,96;
18/11/24 ; 19:07:59;;;62,0;2240;79;14;57283750;5,00;;251,99;;;1300,9;;;;345,37;;;;;31,7;;100;;32,62;
18/11/24 ; 19:08:01;;622,3;62,0;2380;77;15;57283750;5,00;;251,99;;;1361,3;;;;;0,00;;;;;;100;;32,62;
18/11/24 ; 19:08:06;;611,5;73,2;2039;82;13;57283875;5,00;;226,59;;131;1481,5;;;;360,18;;378,87;100,0;30;31,7;;100;;;
18/11/24 ; 19:08:11;;604,6;87,1;1869;86;13;57284000;5,00;94;249,06;55;131;239,2;;;;368,37;0,00;384,78;100,0;30;31,7;;100;;;
18/11/24 ; 19:08:16;;595,5;99,6;2178;79;14;57284125;5,00;;251,99;;;1211,2;;;;;0,00;;;;;;80;;32,50;
18/11/24 ; 19:08:21;;583,7;110,6;2338;3;;57284250;5,00;140;130,71;55;;732,1;;;;379,00;;389,50;100,0;30;;;0;93;32,12;
18/11/24 ; 19:08:26;;576,0;106,8;2257;0;;57284375;5,00;;251,99;;131;35,3;;;;381,09;0,00;390,28;;;31,7;;0;;;
18/11/24 ; 19:08:31;;571,2;100,5;2169;80;;57284500;5,00;136;249,50;56;;1011,3;;;;;0,00;388,37;;;;;55;;32,65;
18/11/24 ; 19:08:33;;568,0;102,0;2177;1;;57284625;5,00;10;240,40;53;131;480,6;;;;;;387,59;;;;;27;92;;
18/11/24 ; 19:08:37;;562,4;101,2;2182;27;10;57284750;5,00;;251,99;;;25,9;;;;384,00;0,00;;;;31,7;;0;;32,21;
18/11/24 ; 19:08:40;;559,7;104,5;2236;81;10;57284750;5,00;62;251,99;53;131;751,4;;;;384,78;0,00;381,59;;;31,7;;100;;;
18/11/24 ; 19:08:43;;557,3;110,0;2356;80;;57284875;5,00;;251,99;;;1002,6;;;;384,78;;;;;31,7;;99;;31,90;
18/11/24 ; 19:08:46;;551,7;113,8;2472;77;16;57285000;5,00;;251,99;;;1188,4;;;;;0,00;;;;;;100;;31,65;
18/11/24 ; 19:08:51;;550,4;114,8;2469;77;;57285125;5,00;150;251,99;53;131;1205,1;;;;385,87;;368,87;;;31,7;;100;;31,50;
18/11/24 ; 19:08:56;;556,8;108,5;2297;78;;57285250;5,00;146;251,99;55;;1335,7;-8,3;;;379,68;0,00;375,68;100,0;30;;;100;92;;
18/11/24 ; 19:09:01;;563,3;99,6;2154;23;11;57285500;5,00;50;74,50;55;;898,1;-8,3;;;;0,00;386,28;;;;;17;;31,34;
18/11/24 ; 19:09:03;;566,1;98,8;2131;81;14;57285500;5,00;50;248,06;55;131;549,3;-8,3;;;376,68;0,00;387,68;100,0;30;;;100;92;;
